PCA components,SVM C,SVM gamma,CV accuracy (mean),CV accuracy (std),Train accuracy (mean),Rank
50,10.0,scale,97.06,2.51,99.14,1
50,10.0,0.01,96.82,2.25,99.14,2
50,1.0,scale,96.81,2.39,98.89,3
70,10.0,0.01,96.81,1.84,99.69,4
50,1.0,0.1,96.57,2.82,99.26,5
50,100.0,0.1,96.57,2.1,100.0,6
50,10.0,0.1,96.57,2.1,99.94,6
50,1.0,0.01,96.57,2.49,98.89,6
50,100.0,0.01,96.57,2.84,99.75,6
50,100.0,scale,96.57,2.84,99.75,6
70,1.0,0.1,96.57,1.95,99.75,6
70,10.0,scale,96.56,2.11,99.69,12
30,10.0,0.01,96.33,2.17,98.34,13
30,100.0,0.01,96.33,2.44,99.08,13
30,1.0,scale,96.32,3.36,98.03,15
70,10.0,0.1,96.32,1.33,100.0,16
70,100.0,0.1,96.32,1.33,100.0,16
30,10.0,scale,96.08,2.48,98.4,18
70,1.0,0.01,96.07,2.25,99.51,19
30,1.0,0.1,95.83,2.12,98.46,20
30,1.0,0.01,95.83,3.04,98.03,20
70,1.0,scale,95.83,2.52,99.51,22
30,10.0,0.1,95.83,1.99,99.88,22
50,100.0,auto,95.83,1.83,100.0,24
50,10.0,auto,95.83,1.83,99.94,24
70,100.0,0.01,95.59,1.82,99.94,26
50,1.0,auto,95.58,2.13,99.75,27
30,1.0,auto,95.34,2.6,99.08,28
30,100.0,auto,95.34,2.48,100.0,28
30,10.0,auto,95.34,2.48,100.0,28
70,100.0,scale,95.34,1.95,99.94,31
50,0.1,scale,95.34,2.11,97.85,32
30,100.0,0.1,95.34,2.11,100.0,32
30,100.0,scale,94.85,2.83,99.26,34
30,0.1,scale,94.85,2.48,97.05,35
70,1.0,auto,94.84,0.89,99.88,36
70,10.0,auto,94.84,0.89,100.0,36
50,0.1,0.01,94.84,2.1,97.54,36
70,100.0,auto,94.84,0.89,100.0,36
70,0.1,scale,94.84,2.38,99.26,40
70,0.1,0.01,94.84,2.38,99.51,40
30,0.1,0.1,94.35,2.96,96.5,42
30,0.1,0.01,93.12,1.27,94.66,43
50,0.1,0.1,92.38,2.85,97.17,44
70,0.1,0.1,91.4,3.01,98.16,45
30,0.1,auto,80.6,1.34,85.51,46
50,0.1,auto,79.86,2.43,83.78,47
70,0.1,auto,79.38,3.91,84.28,48
